initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS32495.1,ENSG00000166558,SLC38A8,solute carrier family 38 member 8 [Source:HGNC Symbol;Acc:HGNC:32434],CCDS,CCDS582.1,
CCDS2754.1,ENSG00000076201,PTPN23,protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406],CCDS,CCDS11768.1,
CCDS32864.1,ENSG00000167470,MIDN,midnolin [Source:HGNC Symbol;Acc:HGNC:16298],CCDS,CCDS13395.1,
CCDS43766.1,ENSG00000175946,KLHL38,kelch like family member 38 [Source:HGNC Symbol;Acc:HGNC:34435],CCDS,CCDS43976.1,
CCDS582.1,ENSG00000174332,GLIS1,GLIS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:29525],CCDS,CCDS48141.1,
CCDS11768.1,ENSG00000141527,CARD14,caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446],CCDS,CCDS219.1,
CCDS13395.1,ENSG00000149654,CDH22,cadherin 22 [Source:HGNC Symbol;Acc:HGNC:13251],CCDS,CCDS11420.1,
CCDS43976.1,ENSG00000165194,PCDH19,protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270],CCDS,CCDS13711.1,
CCDS48141.1,ENSG00000165194,PCDH19,protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270],CCDS,CCDS55979.1,
CCDS219.1,ENSG00000219073,CELA3B,chymotrypsin like elastase 3B [Source:HGNC Symbol;Acc:HGNC:15945],CCDS,CCDS3354.1,
CCDS11420.1,ENSG00000089558,KCNH4,potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253],CCDS,CCDS58834.1,
CCDS13711.1,ENSG00000160233,LRRC3,leucine rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:14965],CCDS,CCDS32100.1,
CCDS55979.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS3084.1,
CCDS3354.1,ENSG00000068078,FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690],CCDS,CCDS32963.1,
CCDS58834.1,ENSG00000163931,TKT,transketolase [Source:HGNC Symbol;Acc:HGNC:11834],CCDS,CCDS8041.1,
CCDS32100.1,ENSG00000070182,SPTB,"spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]",CCDS,CCDS47522.1,
CCDS3084.1,ENSG00000174640,SLCO2A1,solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955],CCDS,CCDS13989.1,
CCDS32963.1,ENSG00000105662,CRTC1,CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062],CCDS,CCDS11575.1,
CCDS8041.1,ENSG00000197901,SLC22A6,solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970],CCDS,CCDS58499.1,
CCDS47522.1,ENSG00000177706,FAM20C,FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140],CCDS,CCDS11341.1,
CCDS13989.1,ENSG00000100321,SYNGR1,synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498],CCDS,CCDS2525.1,
CCDS11575.1,ENSG00000173714,WFIKKN2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30916]",CCDS,CCDS45639.1,
CCDS58499.1,ENSG00000262628,OR1D5,olfactory receptor family 1 subfamily D member 5 [Source:HGNC Symbol;Acc:HGNC:8186],CCDS,CCDS55978.1,
CCDS11341.1,ENSG00000131748,STARD3,StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579],CCDS,CCDS65174.1,
CCDS2525.1,ENSG00000144488,ESPNL,espin like [Source:HGNC Symbol;Acc:HGNC:27937],CCDS,CCDS77182.1,
CCDS45639.1,ENSG00000063015,SEZ6,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955],CCDS,CCDS11433.1,
CCDS55978.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS54177.1,
CCDS65174.1,ENSG00000160271,RALGDS,ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842],CCDS,CCDS13931.1,
CCDS77182.1,ENSG00000167210,LOXHD1,lipoxygenase homology PLAT domains 1 [Source:HGNC Symbol;Acc:HGNC:26521],CCDS,CCDS74166.1,
CCDS11433.1,ENSG00000131462,TUBG1,tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417],CCDS,CCDS53982.1,
CCDS54177.1,ENSG00000215644,GCGR,glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192],CCDS,CCDS7535.1,
CCDS13931.1,ENSG00000166862,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406],CCDS,CCDS46721.1,
CCDS74166.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS10414.1,
CCDS53982.1,ENSG00000099769,IGFALS,insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468],CCDS,CCDS54089.1,
CCDS7535.1,ENSG00000138111,MFSD13A,major facilitator superfamily domain containing 13A [Source:HGNC Symbol;Acc:HGNC:26196],CCDS,CCDS72796.1,
CCDS46721.1,ENSG00000100197,CYP2D6,cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625],CCDS,CCDS86556.1,
CCDS10414.1,ENSG00000127578,WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30912]",CCDS,CCDS141.1,
CCDS54089.1,ENSG00000188803,SHISA6,shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491],CCDS,CCDS8415.1,
CCDS72796.1,ENSG00000162383,SLC1A7,solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945],CCDS,CCDS6878.1,
CCDS86556.1,ENSG00000197879,MYO1C,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597],CCDS,CCDS4487.1,
CCDS141.1,ENSG00000116685,KIAA2013,KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513],CCDS,CCDS76611.1,
CCDS8415.1,ENSG00000172350,ABCG4,ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884],CCDS,CCDS74257.1,
CCDS6878.1,ENSG00000095370,SH2D3C,SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884],CCDS,CCDS9942.1,
CCDS4487.1,ENSG00000145945,FAM50B,family with sequence similarity 50 member B [Source:HGNC Symbol;Acc:HGNC:18789],CCDS,CCDS46609.1,
CCDS76611.1,ENSG00000135100,HNF1A,HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621],CCDS,CCDS33001.1,
CCDS74257.1,ENSG00000186111,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996],CCDS,CCDS12764.1,
CCDS9942.1,ENSG00000168398,BDKRB2,bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030],CCDS,CCDS12328.1,
CCDS46609.1,ENSG00000064601,CTSA,cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251],CCDS,CCDS47417.1,
CCDS33001.1,ENSG00000075702,WDR62,WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502],CCDS,CCDS13824.1,
CCDS12764.1,ENSG00000104888,SLC17A7,solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704],CCDS,CCDS10434.1,
CCDS12328.1,ENSG00000141867,BRD4,bromodomain containing 4 [Source:HGNC Symbol;Acc:HGNC:13575],CCDS,CCDS45562.1,
CCDS47417.1,ENSG00000112139,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267],CCDS,CCDS58402.1,
CCDS13824.1,ENSG00000099994,SUSD2,sushi domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30667],CCDS,CCDS58403.1,
CCDS10434.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS3435.1,
CCDS45562.1,ENSG00000197879,MYO1C,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597],CCDS,CCDS10896.1,
CCDS58402.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS11368.1,
CCDS58403.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS33582.1,
CCDS3435.1,ENSG00000157765,SLC34A2,solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020],CCDS,CCDS45960.1,
CCDS10896.1,ENSG00000103043,VAC14,VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507],CCDS,CCDS54750.1,
CCDS11368.1,ENSG00000131746,TNS4,tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352],CCDS,CCDS1564.1,
CCDS33582.1,ENSG00000141959,PFKL,"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]",CCDS,CCDS58497.1,
CCDS45960.1,ENSG00000161847,RAVER1,"ribonucleoprotein, PTB binding 1 [Source:HGNC Symbol;Acc:HGNC:30296]",CCDS,CCDS44385.1,
CCDS54750.1,ENSG00000157765,SLC34A2,solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020],CCDS,CCDS1072.1,
CCDS1564.1,ENSG00000154342,WNT3A,Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983],CCDS,CCDS4472.1,
CCDS58497.1,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],CCDS,CCDS3027.1,
CCDS44385.1,ENSG00000128815,WDFY4,WDFY family member 4 [Source:HGNC Symbol;Acc:HGNC:29323],CCDS,CCDS74263.1,
CCDS1072.1,ENSG00000143603,KCNN3,potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292],CCDS,CCDS7192.1,
CCDS4472.1,ENSG00000137273,FOXF2,forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810],CCDS,CCDS42437.1,
CCDS3027.1,ENSG00000160145,KALRN,kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814],CCDS,CCDS13855.1,
CCDS74263.1,ENSG00000276043,UHRF1,ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556],CCDS,CCDS78294.1,
CCDS7192.1,ENSG00000177283,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046],CCDS,CCDS8534.1,
CCDS42437.1,ENSG00000141639,MAPK4,mitogen-activated protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:6878],CCDS,CCDS46843.1,
CCDS13855.1,ENSG00000100280,AP1B1,adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554],CCDS,CCDS66894.1,
CCDS78294.1,ENSG00000155093,PTPRN2,protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677],CCDS,CCDS46968.1,
CCDS8534.1,ENSG00000151079,KCNA6,potassium voltage-gated channel subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:6225],CCDS,CCDS77205.1,
CCDS46843.1,ENSG00000168268,NT5DC2,5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717],CCDS,CCDS57968.1,
CCDS66894.1,ENSG00000007516,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948],CCDS,CCDS66988.1,
CCDS46968.1,ENSG00000214160,ALG3,"ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]",CCDS,CCDS4302.1,
CCDS77205.1,ENSG00000064666,CNN2,calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156],CCDS,CCDS53256.1,
CCDS57968.1,ENSG00000171680,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],CCDS,CCDS12477.1,
CCDS66988.1,ENSG00000077235,GTF3C1,general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664],CCDS,CCDS42113.1,
CCDS4302.1,ENSG00000182578,CSF1R,colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433],CCDS,CCDS44300.1,
CCDS53256.1,ENSG00000187583,PLEKHN1,pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284],CCDS,CCDS13797.1,
CCDS12477.1,ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],CCDS,CCDS47605.1,
CCDS42113.1,ENSG00000185739,SRL,sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295],CCDS,CCDS5983.1,
CCDS44300.1,ENSG00000117266,CDK18,cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751],CCDS,CCDS46216.1,
CCDS13797.1,ENSG00000100038,TOP3B,DNA topoisomerase III beta [Source:HGNC Symbol;Acc:HGNC:11993],CCDS,CCDS74036.1,
CCDS47605.1,ENSG00000009950,MLXIPL,MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744],CCDS,CCDS78303.1,
CCDS5983.1,ENSG00000136574,GATA4,GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173],CCDS,CCDS4321.1,
CCDS46216.1,ENSG00000152475,ZNF837,zinc finger protein 837 [Source:HGNC Symbol;Acc:HGNC:25164],CCDS,CCDS9319.1,
CCDS74036.1,ENSG00000271447,MMP28,matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366],CCDS,CCDS58828.1,
CCDS78303.1,ENSG00000136574,GATA4,GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173],CCDS,CCDS9949.1,
CCDS4321.1,ENSG00000132911,NMUR2,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:HGNC:16454],CCDS,CCDS10786.1,
CCDS9319.1,ENSG00000132975,GPR12,G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466],CCDS,CCDS32859.1,
CCDS58828.1,ENSG00000114812,VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694],CCDS,CCDS31344.1,
CCDS9949.1,ENSG00000127152,BCL11B,BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222],CCDS,CCDS75576.1,
CCDS10786.1,ENSG00000182885,ADGRG3,adhesion G protein-coupled receptor G3 [Source:HGNC Symbol;Acc:HGNC:13728],CCDS,CCDS4484.1,
CCDS32859.1,ENSG00000011304,PTBP1,polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583],CCDS,CCDS31935.1,
CCDS31344.1,ENSG00000021762,OSBPL5,oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392],CCDS,CCDS42525.1,
CCDS75576.1,ENSG00000106113,CRHR2,corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358],CCDS,CCDS7475.1,
CCDS4484.1,ENSG00000137267,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412],CCDS,CCDS34448.1,
CCDS31935.1,ENSG00000187848,P2RX2,purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459],CCDS,CCDS3325.1,
CCDS42525.1,ENSG00000105662,CRTC1,CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062],CCDS,CCDS48070.1,
CCDS7475.1,ENSG00000107521,HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1 [Source:HGNC Symbol;Acc:HGNC:5163],CCDS,CCDS8156.1,
CCDS34448.1,ENSG00000137166,FOXP4,forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842],CCDS,CCDS59256.1,
CCDS3325.1,ENSG00000163975,MELTF,melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037],CCDS,CCDS48130.1,
CCDS48070.1,ENSG00000130653,PNPLA7,patatin like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:24768],CCDS,CCDS12109.1,
CCDS8156.1,ENSG00000173020,GRK2,G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289],CCDS,CCDS55462.1,
CCDS59256.1,ENSG00000102858,MGRN1,mahogunin ring finger 1 [Source:HGNC Symbol;Acc:HGNC:20254],CCDS,CCDS67014.1,
CCDS48130.1,ENSG00000124313,IQSEC2,IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059],CCDS,CCDS445.1,
CCDS12109.1,ENSG00000105325,FZR1,fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824],CCDS,CCDS31714.1,
CCDS55462.1,ENSG00000165194,PCDH19,protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270],CCDS,CCDS53620.1,
CCDS67014.1,ENSG00000140678,ITGAX,integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152],CCDS,CCDS11003.1,
CCDS445.1,ENSG00000198754,OXCT2,3-oxoacid CoA-transferase 2 [Source:HGNC Symbol;Acc:HGNC:18606],CCDS,CCDS11773.1,
CCDS31714.1,ENSG00000134955,SLC37A2,solute carrier family 37 member 2 [Source:HGNC Symbol;Acc:HGNC:20644],CCDS,CCDS220.1,
CCDS53620.1,ENSG00000157613,CREB3L1,cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856],CCDS,CCDS6975.1,
CCDS11003.1,ENSG00000197879,MYO1C,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597],CCDS,CCDS56397.1,
CCDS11773.1,ENSG00000141564,RPTOR,regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287],CCDS,CCDS64688.1,
CCDS220.1,ENSG00000142789,CELA3A,chymotrypsin like elastase 3A [Source:HGNC Symbol;Acc:HGNC:15944],CCDS,CCDS11417.1,
CCDS6975.1,ENSG00000160326,SLC2A6,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011],CCDS,CCDS8403.1,
CCDS56397.1,ENSG00000145990,GFOD1,glucose-fructose oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096],CCDS,CCDS2698.1,
CCDS64688.1,ENSG00000189077,TMEM120A,transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697],CCDS,CCDS3438.1,
CCDS11417.1,ENSG00000108773,KAT2A,lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201],CCDS,CCDS46605.1,
CCDS8403.1,ENSG00000186174,BCL9L,BCL9 like [Source:HGNC Symbol;Acc:HGNC:23688],CCDS,CCDS3404.1,
CCDS2698.1,ENSG00000114812,VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694],CCDS,CCDS5548.1,
CCDS3438.1,ENSG00000163394,CCKAR,cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570],CCDS,CCDS12849.1,
CCDS46605.1,ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024],CCDS,CCDS12867.1,
CCDS3404.1,ENSG00000109625,CPZ,carboxypeptidase Z [Source:HGNC Symbol;Acc:HGNC:2333],CCDS,CCDS603.1,
CCDS5548.1,ENSG00000188763,FZD9,frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047],CCDS,CCDS64797.1,
CCDS12849.1,ENSG00000105568,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302],CCDS,CCDS74416.1,
CCDS12867.1,ENSG00000126583,PRKCG,protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402],CCDS,CCDS8064.1,
CCDS603.1,ENSG00000169174,PCSK9,proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001],CCDS,CCDS9209.1,
CCDS64797.1,ENSG00000002726,AOC1,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80],CCDS,CCDS6419.1,
CCDS74416.1,ENSG00000105552,BCAT2,branched chain amino acid transaminase 2 [Source:HGNC Symbol;Acc:HGNC:977],CCDS,CCDS1919.1,
CCDS8064.1,ENSG00000149782,PLCB3,phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056],CCDS,CCDS7557.1,
CCDS9209.1,ENSG00000135100,HNF1A,HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621],CCDS,CCDS12106.1,
CCDS6419.1,ENSG00000185122,HSF1,heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224],CCDS,CCDS44996.1,
CCDS1919.1,ENSG00000003137,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],CCDS,CCDS32671.1,
CCDS7557.1,ENSG00000148841,ITPRIP,"inositol 1,4,5-trisphosphate receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:29370]",CCDS,CCDS1148.1,
CCDS12106.1,ENSG00000161082,CELF5,CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058],CCDS,CCDS7045.1,
CCDS44996.1,ENSG00000089159,PXN,paxillin [Source:HGNC Symbol;Acc:HGNC:9718],CCDS,CCDS31117.1,
CCDS32671.1,ENSG00000225190,PLEKHM1,pleckstrin homology and RUN domain containing M1 [Source:HGNC Symbol;Acc:HGNC:29017],CCDS,CCDS34950.1,
CCDS1148.1,ENSG00000132702,HAPLN2,hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410],CCDS,CCDS42365.1,
CCDS7045.1,ENSG00000130653,PNPLA7,patatin like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:24768],CCDS,CCDS6151.1,
CCDS31117.1,ENSG00000196539,OR2T3,olfactory receptor family 2 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:14727],CCDS,CCDS7004.1,
CCDS34950.1,ENSG00000198576,ARC,activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648],CCDS,CCDS8219.1,
CCDS42365.1,ENSG00000141194,OR4D1,olfactory receptor family 4 subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:8293],CCDS,CCDS13183.1,
CCDS6151.1,ENSG00000288611,NPBWR1,neuropeptides B and W receptor 1 [Source:HGNC Symbol;Acc:HGNC:4522],CCDS,CCDS43602.1,
CCDS7004.1,ENSG00000165716,DIPK1B,divergent protein kinase domain 1B [Source:HGNC Symbol;Acc:HGNC:28290],CCDS,CCDS67107.1,
CCDS8219.1,ENSG00000175591,P2RY2,purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541],CCDS,CCDS74015.1,
CCDS13183.1,ENSG00000101294,HM13,histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435],CCDS,CCDS7958.1,
CCDS43602.1,ENSG00000005486,RHBDD2,rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082],CCDS,CCDS53377.1,
CCDS67107.1,ENSG00000167703,SLC43A2,solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087],CCDS,CCDS33198.1,
CCDS74015.1,ENSG00000260458,KCNJ18,potassium inwardly rectifying channel subfamily J member 18 [Source:HGNC Symbol;Acc:HGNC:39080],CCDS,CCDS42582.1,
CCDS7958.1,ENSG00000149150,SLC43A1,solute carrier family 43 member 1 [Source:HGNC Symbol;Acc:HGNC:9225],CCDS,CCDS10666.1,
CCDS53377.1,ENSG00000254726,MEX3A,mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482],CCDS,CCDS6813.1,
CCDS33198.1,ENSG00000115306,SPTBN1,"spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]",CCDS,CCDS12122.1,
CCDS42582.1,ENSG00000130749,ZC3H4,zinc finger CCCH-type containing 4 [Source:HGNC Symbol;Acc:HGNC:17808],CCDS,CCDS31639.1,
CCDS10666.1,ENSG00000149927,DOC2A,double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985],CCDS,CCDS8426.1,
CCDS6813.1,ENSG00000182752,PAPPA,pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602],CCDS,CCDS44110.1,
CCDS12122.1,ENSG00000077463,SIRT6,sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934],CCDS,CCDS8786.1,
CCDS31639.1,ENSG00000171561,OR2AT4,olfactory receptor family 2 subfamily AT member 4 [Source:HGNC Symbol;Acc:HGNC:19620],CCDS,CCDS45946.1,
CCDS8426.1,ENSG00000110400,NECTIN1,nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706],CCDS,CCDS54297.1,
CCDS44110.1,ENSG00000185090,MANEAL,mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452],CCDS,CCDS9603.1,
CCDS8786.1,ENSG00000135519,KCNH3,potassium voltage-gated channel subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:6252],CCDS,CCDS5916.1,
CCDS45946.1,None,None,None,,CCDS62507.1,
CCDS54297.1,ENSG00000167757,KLK11,kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359],CCDS,CCDS5545.1,
CCDS9603.1,ENSG00000092051,JPH4,junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156],CCDS,CCDS34665.1,
CCDS5916.1,ENSG00000213199,ASIC3,acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101],CCDS,CCDS5707.1,
CCDS62507.1,ENSG00000196365,LONP1,"lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]",CCDS,CCDS58112.1,
CCDS5545.1,ENSG00000155428,TRIM74,tripartite motif containing 74 [Source:HGNC Symbol;Acc:HGNC:17453],CCDS,CCDS12110.1,
CCDS34665.1,ENSG00000178809,TRIM73,tripartite motif containing 73 [Source:HGNC Symbol;Acc:HGNC:18162],CCDS,CCDS42237.1,
CCDS5707.1,ENSG00000146828,SLC12A9,solute carrier family 12 member 9 [Source:HGNC Symbol;Acc:HGNC:17435],CCDS,CCDS30633.1,
CCDS58112.1,ENSG00000148985,PGAP2,post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:HGNC:17893],CCDS,CCDS45660.1,
CCDS12110.1,ENSG00000011132,APBA3,amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580],CCDS,CCDS3365.1,
CCDS42237.1,ENSG00000183018,SPNS2,sphingolipid transporter 2 [Source:HGNC Symbol;Acc:HGNC:26992],CCDS,CCDS57959.1,
CCDS30633.1,ENSG00000020633,RUNX3,RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473],CCDS,CCDS12313.1,
CCDS45660.1,ENSG00000277363,SRCIN1,SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506],CCDS,CCDS213.1,
CCDS3365.1,ENSG00000109736,MFSD10,major facilitator superfamily domain containing 10 [Source:HGNC Symbol;Acc:HGNC:16894],CCDS,CCDS44079.1,
